session_id,chunk_id,bkt_probability,p_correct_pred,predicted,actual,correct_pred
mock_student_1,chunk_mock_015,20,0.34,0,0,1
mock_student_1,chunk_mock_016,12,0.284,0,0,1
mock_student_1,chunk_mock_010,83,0.781,1,1,1
mock_student_1,chunk_mock_007,12,0.284,0,0,1
mock_student_1,chunk_mock_016,12,0.284,0,0,1
mock_student_1,chunk_mock_003,83,0.781,1,1,1
mock_student_1,chunk_mock_007,12,0.284,0,0,1
mock_student_1,chunk_mock_009,12,0.284,0,0,1
mock_student_1,chunk_mock_018,20,0.34,0,0,1
mock_student_1,chunk_mock_008,83,0.781,1,1,1
mock_student_1,chunk_mock_004,20,0.34,0,0,1
mock_student_1,chunk_mock_006,12,0.284,0,0,1
mock_student_1,chunk_mock_006,12,0.284,0,0,1
mock_student_1,chunk_mock_009,12,0.284,0,0,1
mock_student_1,chunk_mock_002,20,0.34,0,0,1
mock_student_2,chunk_mock_004,96,0.872,1,1,1
mock_student_2,chunk_mock_018,83,0.781,1,1,1
mock_student_2,chunk_mock_013,44,0.508,0,1,0
mock_student_2,chunk_mock_012,83,0.781,1,1,1
mock_student_2,chunk_mock_004,96,0.872,1,1,1
mock_student_2,chunk_mock_019,83,0.781,1,1,1
mock_student_2,chunk_mock_006,57,0.599,0,0,1
mock_student_2,chunk_mock_016,83,0.781,1,1,1
mock_student_2,chunk_mock_017,20,0.34,0,0,1
mock_student_2,chunk_mock_020,96,0.872,1,1,1
mock_student_2,chunk_mock_010,20,0.34,0,0,1
mock_student_2,chunk_mock_020,96,0.872,1,1,1
mock_student_2,chunk_mock_013,44,0.508,0,0,1
mock_student_2,chunk_mock_006,57,0.599,0,1,0
mock_student_2,chunk_mock_005,83,0.781,1,1,1
mock_student_3,chunk_mock_017,83,0.781,1,1,1
mock_student_3,chunk_mock_010,83,0.781,1,1,1
mock_student_3,chunk_mock_011,57,0.599,0,0,1
mock_student_3,chunk_mock_013,83,0.781,1,1,1
mock_student_3,chunk_mock_019,83,0.781,1,1,1
mock_student_3,chunk_mock_007,44,0.508,0,1,0
mock_student_3,chunk_mock_007,44,0.508,0,0,1
mock_student_3,chunk_mock_004,96,0.872,1,1,1
mock_student_3,chunk_mock_014,83,0.781,1,1,1
mock_student_3,chunk_mock_005,83,0.781,1,1,1
mock_student_3,chunk_mock_004,96,0.872,1,1,1
mock_student_3,chunk_mock_016,20,0.34,0,0,1
mock_student_3,chunk_mock_011,57,0.599,0,1,0
mock_student_3,chunk_mock_009,83,0.781,1,1,1
mock_student_3,chunk_mock_006,83,0.781,1,1,1
1,e74bfe8f-d566-4032-a,11,0.277,0,0,1
1,e74bfe8f-d566-4032-a,11,0.277,0,0,1
1,70679848-799f-4c22-9,12,0.284,0,0,1
1,4e8800fd-bd4c-4440-9,12,0.284,0,1,0
1,4e8800fd-bd4c-4440-9,12,0.284,0,0,1
1,1363d918-5703-4998-8,22,0.354,0,0,1
1,1363d918-5703-4998-8,22,0.354,0,1,0
1,b2aee761-78a7-4707-8,96,0.872,1,1,1
1,b2aee761-78a7-4707-8,96,0.872,1,1,1
1,cdf059ab-d248-4ee5-9,96,0.872,1,1,1
1,cdf059ab-d248-4ee5-9,96,0.872,1,1,1
1,06245c7e-f5d4-42a5-8,57,0.599,0,0,1
1,06245c7e-f5d4-42a5-8,57,0.599,0,1,0
1,60ed3d17-92bc-457e-8,44,0.508,0,1,0
1,60ed3d17-92bc-457e-8,44,0.508,0,0,1
1,15e6fa2f-80c1-4caf-a,96,0.872,1,1,1
